code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
603999,读者传媒,2.941,6.3,6.11,6.36,6.0,6.12,15803296.0,2.74363,97318280.0,48.092,2.137,362880.0,362880.0
603998,方盛制药,4.754,6.39,6.13,6.52,6.1,6.1,14101090.0,3.31637,88810528.0,45.643,2.63,279001.91808,271700.70408
603997,继峰股份,1.505,8.77,8.68,8.78,8.55,8.64,5223417.0,0.82911,45390282.0,19.065,3.086,560765.3764,552510.0
603996,中新科技,7.828,12.26,12.0,12.51,11.6,11.37,32688195.0,10.89062,394290571.0,25.02,2.343,367983.9,367983.9
603993,洛阳钼业,3.893,5.07,4.88,5.13,4.88,4.88,386597478.0,2.1884,1936281310.0,36.214,2.653,10950814.975581,8956546.699581
603991,至正股份,0.436,20.74,20.5,20.79,20.27,20.65,2098529.0,5.10853,43070379.0,40.667,3.143,154585.585852,85197.675932
603990,麦迪科技,9.998,47.86,43.94,47.86,43.67,43.51,1941146.0,3.22064,91109204.0,74.781,8.933,385918.29638,288461.792
603989,艾华集团,-0.643,21.64,21.74,21.96,21.27,21.78,2049340.0,0.52547,44318887.0,22.309,4.641,843963.683128,843963.683128
603988,中电电机,10.027,12.07,11.0,12.07,10.8,10.97,9850922.0,4.18832,114111155.0,43.107,4.285,283886.4,283886.4
603987,康德莱,1.521,7.34,7.25,7.48,7.25,7.23,8724154.0,3.34331,64065756.0,19.316,2.5,324141.006,191532.61708
603986,兆易创新,0.536,106.95,110.0,110.0,103.56,106.38,8711166.0,4.20023,930198007.0,53.744,15.932,3044272.79916,2218112.829405
603985,恒润股份,-0.432,27.68,27.78,27.89,27.02,27.8,856527.0,1.28685,23582631.0,21.873,2.691,287872.0,184238.08
603980,吉华集团,0.489,14.38,14.4,14.46,14.18,14.31,6486650.0,2.64079,92796722.0,16.285,1.716,719000.0,353220.380544
603979,金诚信,1.367,8.9,8.81,8.95,8.75,8.78,6222449.0,1.06657,55023161.0,25.429,1.296,519233.50448,519233.50448
603978,深圳新星,3.34,24.13,23.7,24.38,23.36,23.35,4790231.0,6.56775,114604567.0,15.369,2.821,386080.0,175993.79584
603977,国泰集团,4.496,8.6,8.35,8.88,8.3,8.23,7222883.0,4.10503,62013326.0,27.742,2.7199999999999998,336461.2228,151318.72
603976,正川股份,0.972,18.7,18.52,18.7,18.21,18.52,4863123.0,12.69747,89889047.0,20.549,2.911,282744.0,71620.88406
603970,中农立华,2.493,17.27,16.86,17.27,16.63,16.85,5359011.0,6.73242,91094931.0,19.65,3.287,276320.13816,137469.33816
603969,银龙股份,2.268,5.41,5.29,5.45,5.22,5.29,23782743.0,2.82791,126750517.0,18.033,2.73,454981.0,454981.0
603968,醋化股份,1.603,15.21,15.06,15.27,14.96,14.97,3714551.0,1.81658,56086104.0,19.253,2.224,311014.08,311014.08
603966,法兰泰克,2.279,10.77,10.53,10.97,10.5,10.53,4102330.0,4.41162,43972754.0,26.268,2.586,227225.0292,100149.265008
603963,大理药业,9.98,16.53,16.0,16.53,15.05,15.03,11096079.0,14.52842,177874022.0,30.055,4.683,214890.0,126247.875
603960,克来机电,1.178,31.78,31.46,31.88,30.93,31.41,1015627.0,1.96035,31863279.0,62.314,9.219,429665.6,164647.184184
603959,百利科技,-4.458,21.86,22.38,22.95,21.23,22.88,11032330.0,7.40624,240622352.0,45.542,6.558,685529.6,325626.56
603958,哈森股份,2.157,9.0,8.82,9.1,8.75,8.81,6913008.0,10.47441,61932956.0,107.656,1.823,197915.985,59399.0964
603956,威派格,10.013,17.58,17.58,17.58,17.58,15.98,286192.0,0.6718700000000001,5031255.0,62.786,8.924,748837.8558,74883.9438
603955,大千生态,3.551,17.79,17.99,18.3,17.52,17.18,3337708.0,4.67989,59650171.0,18.522,1.843,201204.9,126878.658927
603939,益丰药房,1.12,54.17,53.4,54.68,53.05,53.57,2459567.0,0.6781400000000001,132262792.0,62.697,5.813,2041158.134502,1964716.962386
603938,三孚股份,3.248,20.98,20.5,20.98,20.13,20.32,4338230.0,8.54208,89166556.0,19.248,3.042,315049.5268,106550.2868
